Name (Name),Adresse (Address),Website (Webseite)
Baugenossenschaft Grafenwis,"Burstwiesenstrasse 13, 8606 Greifensee",www.grafenwis.ch
Baugenossenschaft Graphia,"Gallusackerstrasse 19, 9402 Morschwil",N/A
Baugenossenschaft Graphika Zurich,"Alfred-Strebel-Weg 9, 8047 Zurich",www.graphika.ch
Baugenossenschaft Gurzelenplus,2501 Biel,www.gurzelenplus.ch
Baugenossenschaft GUTENBERG,"Orpundstrasse 60, 2504 Biel/Bienne",www.bcg-biel.ch
Baugenossenschaft Hagenbrunneli,"Lerchenberg 21, 8046 Zurich",www.wohnenzuerich.ch/home.html
Baugenossenschaft Halde Zurich,"Schachenstrasse 7, 8048 Zurich",www.bg-halde.ch
Baugenossenschaft Hasenacker,"Aufdorfstrasse 172, 8708 Mannedorf",N/A
Baugenossenschaft Heimet,"Kaferholzstrasse 203a, 8046 Zurich",N/A
Baugenossenschaft Heubach,"Steinbruchstrasse 18, 8810 Horgen",www.bg-heubach.ch
Baugenossenschaft Hochwacht Zurich,"Steigstrasse 6 8, 8280 Kreuzlingen",N/A
Baugenossenschaft Hombrechtikon,"Lochrutistrasse 23, 8633 Wolfhausen",N/A
Baugenossenschaft Illeffi,"Oberholzstrasse 4, 8307 Effretikon",N/A
Baugenossenschaft Iltisrain,"Wiesenstrasse 5, 8603 Schwerzenbach",N/A
Baugenossenschaft Im Falmis,"Sydedruckiweg 5, 8805 Richterswil",N/A
Baugenossenschaft Im Gut,"Gutstrasse 86, 8055 Zurich",www.baugig.ch
Baugenossenschaft Im Michel,"Kampstrasse 33, 8952 Schlieren",www.bgim.ch
Baugenossenschaft im Vogelsang,"Muhlebrucke 2, 2500 Biel/Bienne 3",N/A
Baugenossenschaft Kleeweid,"Maneggpromenade 155, 8041 Zurich",www.kleeweid.ch
Baugenossenschaft Kyburg,"Roschibachstrasse 52, 8037 Zurich",www.bgkyburg.ch
Baugenossenschaft LE VERGER,"Sydebusweg 9, 2502 Biel/Bienne",N/A
Baugenossenschaft Letten BGL,"Schaffhauserstrasse 68, 8057 Zurich",www.bgl-zuerich.ch
Baugenossenschaft Linth-Escher,"Norastrasse 5, 8004 Zurich",www.linthescher.ch
Baugenossenschaft Lippenrutipark Neuenkirch,"Windblosenstrasse 5, 6206 Neuenkirch",N/A
Baugenossenschaft Luegisland,"Schaffhauserstrasse 216, 8057 Zurich",www.bg-luegisland.ch
Baugenossenschaft Maler und Bildhauer Zurich,"Wuhrstrasse 10, 8003 Zurich",N/A
Baugenossenschaft Matt,"Grubenstrasse 16, 6014 Luzern",www.bgmatt.ch
Baugenossenschaft mehr als wohnen,"Hagenholzstrasse 104b, 8050 Zurich",www.mehralswohnen.ch
