Name (Name),Adresse (Address),Website (Webseite)
Genossenschaft Wohnbauforderung GWF,"Rutistrasse 23, 9443 Widnau",N/A
Genossenschaft Wohnbackerei,"Bruggstrasse 55, 2503 Biel/Bienne",N/A
Genossenschaft WOHNEN + LEBEN,"Puntenrain 3, 8478 Thalheim",N/A
Genossenschaft Wohnen 60plus Uzwil,"Santisstrasse 20a, 9240 Uzwil",www.wohnen60plus-Uzwil.ch
Genossenschaft Wohnen an der Lussel,"Laufenweg 5, 4225 Brislach",www.wohnen-an-der-luessel.ch
Genossenschaft Wohnen Arbeit und Kultur,"Vordergasse 21, 8353 Elgg",www.wak-elgg.ch
Genossenschaft Wohnen Bern,"Kramgasse 73, 3011 Bern",N/A
Genossenschaft wohnen bis funfundzwanzig Samedan,"Chiss 10, 7503 Samedan",www.wohnenbis25.ch
Genossenschaft Wohnen im Alter Bozen und Umgebung,"Hauptstrasse 66, 5075 Hornussen",N/A
Genossenschaft Wohnen im Alter Selzach,"c/o Ruth Bur Aschwanden, 2545 Selzach",N/A
Genossenschaft Wohnen im Alter Tubach,"Kirchstrasse 18, 9327 Tubach",www.tuebach.ch/sicherheit-soziales/seniorenwohnungen
Genossenschaft Wohnen im Buck,"Buckstrasse 25, 8317 Tagelswangen",www.wohnen-im-buck.ch
Genossenschaft Wohnen und Arbeiten im Engel,9000 St. Gallen,N/A
Genossenschaft Wohnpark Riedtwilstrasse,"Mistelberg 124, 3472 Wynigen",www.wohnpark-wynigen.ch
Genossenschaft Wohnsiedlung Im Heugarten,"Im Heugarten 8, 8617 Monchaltorf",N/A
Genossenschaft Wohnsiedlung Wilen-Waldkirch,"Wilenstrasse 6, 9205 Waldkirch",N/A
Genossenschaft Wohnsinn,"Rosenstrasse 11, 8400 Winterthur",N/A
Genossenschaft WohnWerkAareal,"Sandrainstrasse 89, 3007 Bern",N/A
Genossenschaft Zentrum Brutten,"Bruelgasse 5, 8311 Brutten",www.zentrumbruetten.ch
Genossenschaft Ziegelhutte Arbon,"Walhallastrasse 6a, 9320 Arbon",www.ziegelhuette-arbon.ch
Genossenschaft ZukunftsWohnen 2. Lebenshalfte,"Melchrutistrasse 26, 8304 Wallisellen",www.zukunftswohnen.ch
Genossenschaft zum Eichenen Fass,"Webergasse 13, 8210 Schaffhausen",fassgenossenschaft.ch/ueber-uns/
Genossenschaft zum Felsental,"Obere Kirchgasse 8, 8400 Winterthur",N/A
Genossenschaft zum Korn,"Birmensdorferstrasse 67, 8004 Zurich",www.zumkorn.ch
Genossenschaft zum Rebstock,"Oberdorfweg 4, 8455 Rudlingen",rebstock-ruedlingen.ch
Genossenschaft zum Steinhof,"Kirchplatz 2, 8400 Winterthur",N/A
Genossenschaft zum Widder,"Spitalgasse 11, 8400 Winterthur",N/A
Genossenschaft Zusammen_h_alt,"Tossfeldstrasse 23, 8400 Winterthur",www.zusammenhalt.ch
Genossenschaft Arztehaus Reusslistrasse,"Rooswiesenstrasse 63, 8155 Niederhasli",www.reussli.ch
Genossenschaft Okodorf Sennruti,"Sennrutistrasse 23, 9113 Degersheim",www.sennrueti.ch
Genossenschaftsverband Pilatus,"Pilatusstrasse 44, 4054 Basel",www.gv-pilatus.ch
"Gesewo, Genossenschaft fur selbstverwaltetes Wohnen","Emil-Krebs-Gasse 10, 8400 Winterthur",www.gesewo.ch
Gesundes Wohnen MCS,"Glattalstrasse 188, 8153 Rumlang",www.gesundes-wohnen-mcs.ch
Gesundheits- und Seniorenzentrum Eggersriet AG,"Heidenerstrasse 9, 9034 Eggersriet",www.seniorenzentrum-eggersriet.ch
Gewerkschaftliche Wohn- und Baugenossenschaft GEWOBAG,"Langgrutstrasse 140, 8047 Zurich",www.gewobag.ch
Gewo Zuri Ost,"Gerichtsstrasse 4, 8610 Uster",www.gewo.ch
Gewoba Abtwil-St. Josefen,"Bruggerweg 1, 9030 Abtwil SG",www.gaiserwald.ch/vereinsliste/3325
"GEWOBA Genossenschaft fur Wohnungsbau, Freienbach","Wilenstrasse 160, 8832 Wilen b. Wollerau",N/A
Graphis Bau- und Wohngenossenschaft,"Wylerfeldstrasse 7, 3014 Bern",www.graphis.ch
GWG Gemeinnutzige Wohnbaugenossenschaft Winterthur,"Technikumstrasse 81, 8400 Winterthur",www.gwg.ch
GWZ Gemeinn.Wohnbaugen.,"Eschenstrasse 5, 9524 Zuzwil",N/A
Habitare Schweiz AG,"General Guisan Strasse 47, 8400 Winterthur",www.terra-wohnen.ch
HABITAT 8000 AG,"Limmatstrasse 107, 8005 Zurich",www.habitat8000.ch
Harivest Societe Cooperative de Constructions et d'Habitations,"Chemin de Pallin 6, 1009 Pully",N/A
Hauptstadt-Genossenschaft,"Freiburgstrasse 257, 3018 Bern",www.hauptstadt-genossenschaft.ch
Hauseigentumerverband Zurich,"Albisstrasse 28, 8038 Zurich",www.hev-zuerich.ch
Hausgenossenschaft Rheinlanderstrasse 3,"Rheinlanderstrasse 3, 4056 Basel",N/A
Hausgenossenschaft VIVA,"Breisacherstrasse 25, 4057 Basel",N/A
HAWO Wohngenossenschaft,"Bernstrasse 22a, 3076 Worb",www.hawo.ch
Heimgenossenschaft Schweighof Zurich,"Schweighofstrasse 44, 8045 Zurich",N/A
Heimstattengenossenschaft HGW,"Technoparkstrasse 3, 8406 Winterthur",www.hgw-wohnen.ch
"Homebase, Genossenschaft fur selbstgestaltetes Wohnen und Arbeiten","Thiersteinerrain 21, 4053 Basel",www.homebase.swiss
homelab Baugenossenschaft,"Dufourstrasse 48, 8024 Zurich",www.homelab.ch/
Hypothekarzentrale fur gemeinnutzige Wohnbautrager HGW,"Ringstrasse 33, 4600 Olten",www.hgw-chl.ch
ITOBA GmbH,"Dynamostrasse 8, 5400 Baden",www.siedlungsidentität.ch
Junge Wohnbaugenossenschaft,"Inwilerstrasse 13, 6340 Baar",www.junge-wbg.ch
Kompetenzzentrum gemeinnutziger Wohnungsbau,"Holligerhof 3, 3008 Bern",www.wbg-beso.ch/kompetenzzentrum
Kordia Wohnbaugenossenschaft,4450 Sissach,www.kordia.ch
L'ARTISANE NOUVELLE,"Av. de l'Europe 38E, 1870 Monthey",N/A
La cooperative d'en face,"Rue Edmond-de-Reynier 3, 2000 Neuchatel",N/A
La Demeure Vermeille Vevey Societe cooperative,"Ch. de Meruz 1, 1804 Corsier-sur-Vevey",N/A
La Maison Ouvriere C SA,"Rue Beau-Sejour 15, 1002 Lausanne",N/A
La Maison Ouvriere D SA,"Rue Beau-Sejour 15, 1002 Lausanne",N/A
La Maison Ouvriere E SA,"Rue Beau-Sejour 15, 1002 Lausanne",N/A
La Rencontre societe cooperative,"Rue des Gares 27, 1201 Geneve",N/A
LEGENO-Lebensgenossenschaft Schaffhausen,"Wagenstrasse 10, 8200 Schaffhausen",www.legeno.ch
Les Ailes societe cooperative,"81, Av. Louis-Casai, 1216 Cointrin",www.lesailes.ch
Les Glycines - Societe Cooperative d'Habitation - SCHG,"Route de la Maladiere 26, 1022 Chavannes-pres-Renens",N/A
"Les Jardins de la Paix, societe cooperative d'habitation","Chemin du Gros-Chene 14, 1808 Les Monts-de-Corsier",www.larcade.ch
"Les Savoies, cooperative d'habitation d'interets public","Rue du Chateau 5, 1580 Oleyres",N/A
LeWiNa in Gruendung,"Hombergstrasse 53, 4600 Olten",www.lewina.ch
LEWO AG,"Worbstrasse 46, 3074 Muri b. Bern",www.lewo.info
Liberale Baugenossenschaft Hongg,"Im oberen Boden 31, 8049 Zurich",www.lbg-hoengg.ch
Liberale Baugenossenschaft Luzern,"Hirtenhofstrasse 61, 6005 Luzern",N/A
Liberale Baugenossenschaft Schlieren,"c/o Peter Voser, Stationsstsrasse 18, 8952 Schlieren",N/A
Live & Work AG,"Aeschenplatz 6, 4052 Basel",www.liveandwork.swiss
Logacop Societe Cooperative Immobiliere,"Route du Chatelard 30b, 1000 Lausanne 18",N/A
Logement ideal - Societe cooperative,"Av. de Lavaux 65, 1009 Pully",www.logement-ideal.ch
Logis Suisse AG,"Lagerstrasse 33, 8004 Zurich",www.logis.ch
LSR Logement Social Romand SA,"Rte des Plaines-du-Loup 32, 1000 Lausanne 18",www.schl.ch
Lagern Wohnen,"Etzelmatt 1, 5430 Wettingen",www.laegern.ch
Marcasa AG,"Margrethenhof 6, 6275 Ballwil",N/A
Mieter Baugenossenschaft Zurich,"Waffenplatzstrasse 87, 8002 Zurich",N/A
Mieter-Baugenossenschaft Basel (MBG Basel),"Wartenbergstrasse 40, 4052 Basel",www.mbg-basel.ch
Mieter-Baugenossenschaft Wadenswil,"Turgass 3, 8820 Wadenswil",www.mbgwaedenswil.ch
Mieterbaugenossenschaft Kusnacht,"Obere Heslibachstrasse 8, 8700 Kusnacht ZH",www.mbk-kuesnacht.ch
Mietergenossenschaft Alpenblick Horgen,"Einsiedlerstrasse 159, 8810 Horgen",N/A
Milchbuck Baugenossenschaft,"Lettenmattstrasse 9, 8903 Birmensdorf",www.milchbuck.ch
Mon Logis Cooperative d'habitation,"Rue de Pain-Blanc 1, 2000 Neuchatel",N/A
NAWOBA Genossenschaft,"Auhalden 607, 9608 Ganterschwil",N/A
Neue Baugenossenschaft Horgen,"Floraweg 3, 8810 Horgen",www.nbg-horgen.ch
Neue Baugenossenschaft Ruti,"Weierstrasse 34, 8630 Ruti",www.nbr.immo
Neue Baugenossenschaft Zollikon NBZ,"In der Unterhueb 3, 8125 Zollikerberg",www.nbz-zollikon.ch
Neue Wohnbaugenossenschaft Basel (NWG),"Reinacherstrasse 202, 4053 Basel",www.nwg.ch
Neue Wohnbaugenossenschaft Grenchen NWG,"Bahnhofstrasse 39, 2540 Grenchen",N/A
Neue Wohnbaugenossenschaft Schaffhausen,"Vordersteig 4, 8200 Schaffhausen",www.nwgs.ch
new living Gemeinnutzige Wohnbaugenossenschaft,"Gassli 4a, 3202 Frauenkappelen",N/A
NPG AG fur nachhaltiges Bauen,"Morgenstrasse 70, 3018 Bern",www.npg-ag.ch
Oekumenische Wohnbaugenossenschaft Luzern,"Biregghalde 5, 6005 Luzern",N/A
OXYMORE Societe coop. pour la creation de cooperatives de logement,"Rue de Veyrier 19, 1227 Carouge",N/A
"PARLOCA FRIBOURG, FONDATION POUR LA LOCATION-PARTICIPATION","Place St-Jacques 51, 1680 Romont",www.bdgerance.ch
Pigeno Pioniergenossenschaft Elsau,"Untere Scharerstrasse 17, 8352 Elsau",pigeno.ch/
Prewo Wohnbau AG,"Bahnhofstrasse 5, 8953 Dietikon",N/A
"Primavesta, societe cooperative d'utilite publique","Avenue de la Gare 29, 1001 Lausanne",www.primavesta.ch
QAP Cooperative,"Rue Farel 7, 1860 Aigle",N/A
Re-Co Soc. coop. d'habitation,"Av. Marc-Dufour 19, 1007 Lausanne",www.re-co.ch
REGIO Wohnbau AG,"Europaplatz 1a, 3001 Bern",www.wirztanner.ch
Renens-Pierrettes S.A.,"c/o Publiaz immobilier SA, 1020 Renens VD",www.renens-pierrettes.ch
RESIDENCE LE TREFLE A QUATRE societe cooperative d'habitation,"Route de Villars 14, 1566 St-Aubin",N/A
Residenza Emmy Societa Cooperativa,"Via San Pietro Pambio 1, 6900 Lugano",N/A
Rohn-Salvisberg-Stiftung,"Zweiackerstrasse 50, 8053 Zurich",N/A
SCHP Societe cooperative d'habitation Pully,"Avenue de la Gare 29, 1001 Lausanne",N/A
SCHS - Societe cooperative pour l'habitat social - Loex (Geneve),"Cours de Rive 7, 1211 Geneve 3",www.comptoir-immo.ch
Schweizerischer Gemeinnutziger Frauenverein Bern,"Fischerweg 3, 3012 Bern",www.sgfbern.ch
segeno senioren wohnbau genossenschaft,"Schaffhauserstrasse 58, 8152 Glattbrugg",www.segeno.ch
SeGeWo Wohnbaugenossenschaft St. Gallen,"Cunzstrasse 14, 9016 St. Gallen",www.segewo.ch
Senioren Wohngenossenschaft Munchenstein,"Larchenstrasse 9, 4142 Munchenstein",www.laerchenpark.ch
Senioren Wohngenossenschaft Waldeck,"Bottmingerstrasse 101, 4102 Binningen",www.wgwaldeck.ch
SFW-Stiftung Familienwohnungen,"Feldeggstrasse 60, 8008 Zurich",N/A
SI Pre Fleuri-Villars-sous-Mont SA,"Rte de l'Intyamon 36, 1667 Enney",N/A
Siedlungs- + Baugenossenschaft Dubendorf SBD,"Hermikonstrasse 29a, 8600 Dubendorf",N/A
Siedlungs-Baugenossenschaft Langnau am Albis,"Sihltalstrasse 60, 8135 Langnau am Albis",N/A
Siedlungsbau-Genossenschaft Kloten,"Santisstrasse 19, 8302 Kloten",N/A
Siedlungsgenossenschaft Bethlehemacker,"Muhledorfstrasse 5, 3018 Bern",N/A
Siedlungsgenossenschaft Eigengrund,"Letzigraben 33, 8003 Zurich",www.eigengrund.ch
Siedlungsgenossenschaft Freidorf,"Freidorf 151, 4132 Muttenz",www.freidorf-muttenz.ch
Siedlungsgenossenschaft im Moosli,"Bruggmattenweg 35, 2503 Biel/Bienne",im-möösli.ch/aktuelles
Siedlungsgenossenschaft Melchenbuhl,"Mungerstrasse 67, 3006 Bern",www.melchenbuehl.ch
Siedlungsgenossenschaft Sonnenufer,"Auf der Hurnen 11, 8706 Meilen",N/A
Siedlungsgenossenschaft Sunneheim,"Eidmattstrasse 25, 8820 Wadenswil",www.sunneheim.ch
Siedlungsgenossenschaft Sunnige Hof,"Mattenhof 25, 8051 Zurich",www.sunnigehof.ch
Siedlungsgenossenschaft Wylergut (SGW),"Dandlikerweg 37, 3014 Bern",www.wylergut.ch
SOCA Familienheimgenossenschaft,"Volkensbergerstrasse 29, 4055 Basel",www.soca.ch
Societa Cooperativa Abitativa del Mendrisiotto Cam'On!,"Via Grutli 2, 6830 Chiasso",N/A
Societa cooperativa d'abitazioni Breggia,"Via Antonio Chiesa 12, 6830 Chiasso",N/A
Societa cooperativa di abitazione edilizia Giardino,"Via San Silvestro 16, 6938 Fescoggia",N/A
Societa cooperativa di abitazione radice,"Via Bramantino 3, 6600 Locarno",www.cooperativaradice.ch
Societa cooperative di abitazione Vivere Lambertenghi,"Via Serafino Balestra 19, 6900 Lugano",N/A
Societa Solatia SA,"c/o Alloggi Ticino SA, 6934 Bioggio",N/A
Societe coop. d'habitation Montreux,"Avenue du Chatelard 12, 1815 Clarens",N/A
Societe coop. immobiliere Solidarite-Jura A-B-C,"Champ des Fontaines 25, 1700 Fribourg",N/A
Societe cooperative Au Milieu d'Ecoteaux,"Chemin du Tyle 1, 1612 Ecoteaux",N/A
SOCIETE COOPERATIVE CO2P L71,"Rue Liotard 71, 1203 Geneve",N/A
Societe cooperative Codhava,"Le Chateau 3, 1374 Corcelles-sur-Chavornay",www.chateaudecorcelles.ch
Societe Cooperative COOPLOG-GAVARD,"36, rte de Chene, 1208 Geneve",www.spg.ch
Societe Cooperative Cooplog-Soubeyran,1211 Geneve 6,N/A
Societe cooperative d'ailleurs,"Rue du Jura 2, 1800 Vevey",N/A
Societe Cooperative d'Habitants Le Bled,"Rue Elisa-Serment 1, 1018 Lausanne",www.lebled.ch
Societe cooperative d'habitation CANTARALDA,"Chemin Pontverre 14, 1232 Confignon",N/A
Societe cooperative d'habitation et d'atelier Le Bateau Jaune,"Route de France 7, 2350 Saignelegier",N/A
Societe Cooperative d'Habitation FOMHAB,"Av. de Chatelaine 81B, 1219 Chatelaine",N/A
Societe cooperative d'habitation Le Noirmont,2340 Le Noirmont JU,N/A
Societe Cooperative d'Habitation Rue des Rois,"Route de Chene 36, 1211 Geneve 6",N/A
Societe cooperative d'habitation,"Route de Bramois 40, 1967 Bramois",N/A
"Societe cooperative d'habitation ""Cite des Philosophes"" Morges","Avenue du Delay 3, 1110 Morges",N/A
Societe Cooperative d'Habitation - Les Balcons du Leman,"Chemin du Bochet 14, 1025 St-Sulpice VD",N/A
Societe Cooperative d'habitation Archipel,"chemin du 23 Aout 1, 1205 Geneve",N/A
Societe Cooperative d'Habitation Artamis des Rois,"Route de Chene 36, 1211 Geneve 6",N/A
Societe cooperative d'habitation Berscho,"Route de la Heitera 2, 1700 Fribourg",N/A
Societe Cooperative d'Habitation Charmontey Vevey,"Rue d'Italie 7, 1800 Vevey 2",N/A
Societe cooperative d'habitation Chatpin,"rue de la Fontenette 37, 1227 Carouge GE",www.chatpin.ch
Societe cooperative d'habitation COHAPIGRI - Societe d'habitation de la pie grieche,"Avenue Floreal 14, 1006 Lausanne",N/A
Societe cooperative d'habitation d'Yvonand,"En Treysala A, 1462 Yvonand",N/A
Societe cooperative d'habitation de Chavannes-pres-Renens,"Route de la Maladiere 26, 1022 Chavannes-Renens",N/A
Societe Cooperative d'Habitation de Fleurier,"Rue de la Sagne 11, 2114 Fleurier",N/A
Societe cooperative d'habitation de L'esquisse,"Impasse du sellier 1, 1114 Colombier VD",N/A
Societe Cooperative d'Habitation de l'Ouest-SCHO - mixAGE,"Av. des Paudex 10, 1020 Renens",N/A
Societe cooperative d'habitation de la Valsainte,"Rue du College 16-18, 1800 Vevey",N/A
Societe Cooperative d'Habitation de la Venoge,"Chemin du Bief 8, 1027 Lonay",N/A
Societe cooperative d'habitation de Sales,"Rue du Pont 35, 1820 Montreux",N/A
Societe Cooperative d'Habitation des Cheminots de Geneve,"Av. Ernest-Pictet 34, 1203 Geneve",N/A
Societe cooperative d'habitation des Doubs Terrienne,"Essertfallon 37, 2886 Epiquerez",N/A
Societe cooperative d'habitation des employes de rail (CHER),"Avenue de Cour 140, 1007 Lausanne",N/A
Societe cooperative d'habitation des Moulins,"Rte de la Salentze 53, 1913 Saillon",www.cooperativedesmoulins.ch
Societe cooperative d'habitation DomaHabitare,"Avenue des Gittaz 9, 1450 Ste-Croix",N/A
Societe cooperative d'habitation du personnel federal de Vevey,1800 Vevey 1,N/A
Societe cooperative d'habitation du Chablais,"Route des Courtraits 26, 1880 Bex",N/A
Societe cooperative d'habitation du Leman,"Chemin du Vieux-Bureau 81, 1217 Meyrin",N/A
Societe cooperative d'habitation du Pan d'Ozi,"Route du Village 16, 1453 Mauborget",N/A
Societe cooperative d'habitation Ecolieux Gruyere,1630 Bulle 1,N/A
Societe cooperative d'habitation Ecorces,"Rue du Petit-Valentin 5, 1004 Lausanne",N/A
Societe cooperative d'habitation Galaxie,"Chemin de Saule 83, 1233 Bernex",N/A
Societe cooperative d'habitation Geneve,"Rue Charles-BURKLIN 2, 1211 Geneve 28",www.schg.ch
Societe cooperative d'habitation HARMONIE,"Place des Aviateurs 1, 1228 Plan-les-Ouates",N/A
Societe cooperative d'habitation huit et demi,"Chemin des Blanchards 42-44-46, 1233 Bernex",N/A
Societe cooperative d'habitation Ida Schertenleib,"Rte Aloys-Fauquez 2, 1018 Lausanne",N/A
Societe Cooperative d'habitation Jordils-Moulins,"Chemin de Franey 6, 1084 Carrouge VD",N/A
Societe cooperative d'habitation L'EauBerge,"Route Principale 6, 2863 Undervelier",N/A
Societe cooperative d'habitation L'Eglantine Morges,"Avenue du Delay 3, 1110 Morges",N/A
Societe cooperative d'habitation LA CONDEMINE Bulle,"Chemin de l'Oratoire 4, 1684 Mezieres",N/A
SOCIETE COOPERATIVE D'HABITATION LA PAIX NYON,"Chemin de la Paix 8b, 1260 Nyon",N/A
Societe cooperative d'habitation La Prairie,"Grandes-Rayes 39, 1530 Payerne",N/A
Societe cooperative d'habitation LACO,"Chemin des Meuniers 7, 2034 Peseux",N/A
Societe cooperative d'habitation LASCO,"13b, rue Le Corbusier, 1208 Geneve",N/A
Societe cooperative d'habitation Lavey-Village,"Place St-Jacques 51, 1680 Romont",N/A
Societe cooperative d'habitation Le Collectif des Martines,"Route des Martines 2A, 1052 Le Mont-sur-Lausanne",N/A
"Societe cooperative d'habitation Le Jet d'Eau, Geneve","Chemin Dr-Adolphe-Pasteur 25, 1209 Geneve",N/A
Societe Cooperative d'habitation Le Praz-Amiet Croy,"Rue des Fontaines 43, 1322 Croy VD",N/A
Societe cooperative d'habitation Les Communs,"Chemin de Bonne-Esperance 11, 1006 Lausanne",N/A
societe cooperative d'habitation Les Jardins,"Rue Maunoir 13, 1207 Geneve",www.regisseurs.ch
Societe cooperative d'habitation Les Joyeux Logis,"Av. de Chatelaine 81B, 1211 Geneve 28",N/A
Societe cooperative d'habitation Les Rocailles,"Rue des Acacias 12, 2000 Neuchatel",www.lesrocailles.ch
Societe cooperative d'habitation Les Voisins,"Rue du Mont 3, 2852 Courtetelle",N/A
Societe Cooperative d'Habitation Morges,"Rue des Vignerons 1a, 1110 Morges",N/A
Societe cooperative d'habitation Perce-Neige,1145 Biere,N/A
Societe cooperative d'habitation Petrichor,"Vers Thivena 2, 1733 Treyvaux",N/A
Societe cooperative d'habitation PRE-COLOMB,"Rue Claudine-Levet 3, 1201 Geneve 2",N/A
Societe cooperative d'Habitation Renens et agglomeration,"Avenue des Paudex 10, 1020 Renens",www.schrenens.ch
Societe cooperative d'habitation Terrajoie,"Gasse du Moulin 88B, 2947 Charmoille",N/A
Societe cooperative d'habitation UNIA,"Place de la Riponne 4, 1001 Lausanne",N/A
SOCIETE COOPERATIVE D'HABITATION UNILOGIS,"Avenue de Joli-Mont 12, 1209 Geneve",N/A
Societe cooperative d'habitation VOISINAGE,"Esplanade des Recreations 21, 1217 Meyrin",www.cooperative-voisinage.ch
"Societe Cooperative d'Habitation, Rolle","Av. General Guisan 32, 1180 Rolle",N/A
"Societe cooperative d'habitations ""Le Chene""","Chemin de Bougogne 11, 1260 Nyon",N/A
"Societe cooperative d'habitations ""Les Colombettes""","Rue de l'Abbe-Bovet 9, 1630 Bulle",N/A
Societe cooperative d'habitations Collectives,"Route de Soral 168, 1233 Bernex",N/A
"Societe Cooperative de construction et d'habitation ""Boscoop""","Route de Chailly 210, 1814 La Tour-de-Peilz",N/A
"societe cooperative de construction et d'habitation ""Polygones""","Esplanade des Recreations 27, 1217 Meyrin",www.polygones.ch
Societe cooperative de construction et d'habitation B22,1211 Geneve 1,N/A
Societe cooperative de construction et d'habitation des Hautes Herbes,"chemin des vignerons 9, 2072 St-Blaise",N/A
Societe cooperative de construction et d'habitation ECOPOLIS,"Rue Germaine-Ernst 9, 1018 Lausanne",www.ecopolis.ch
Societe cooperative de construction et d'habitation INTI,"Rue Edouard Vallet 5, 1232 Confignon",www.cooperative-inti.ch
Societe cooperative de construction et d'habitation La Maison d'Ici,"Rue d'Orbe 37, 1400 Yverdon-les-Bains",N/A
societe cooperative de construction et d'habitation Les Colories,"Route de Rombuet 180, 1616 Attalens",N/A
Societe cooperative de construction et d'habitation Les Heliotropes,"Impasse des Saules 16, 2053 Cernier",N/A
societe cooperative de construction et d'habitation MOUL2,"Route d'Ogens 35, 1407 Bioley-Magnoux",N/A
Societe cooperative de construction et d'habitation O12illes,"Les Douzilles 9, 1607 Les Thioleyres",N/A
Societe cooperative de construction et d'habitation Porrentruy 2001,"Rue des Annonciades 8, 2900 Porrentruy",N/A
Societe cooperative de construction et d'habitation UV,"Avenue de France 17, 1202 Geneve",N/A
Societe cooperative de construction MON HOME,"Chemin Saint-Paul 16, 2503 Biel/Bienne",N/A
Societe cooperative de construction PRO FAMILIAL,2800 Delemont,N/A
Societe cooperative de la Maison Familiale,"Av. de la Confrerie 38, 1008 Prilly",www.gerim.ch
societe cooperative de logements l'Envol,"Rue de l'Envol 17, 1950 Sion",N/A
Societe cooperative du Grand Tetras,"Chemin de Montolivet 11, 1006 Lausanne",N/A
Societe cooperative e la Tourbiere,"Rue de Beauregard 11, 2300 La Chaux-de-Fonds",www.tourbiere.ch
Societe Cooperative Immobiliere Solidarite-Schoenberg,"Rte Champ des Fontaines 25, 1700 Fribourg",N/A
"societe cooperative immobiliere ""LA SOLIDARITE""","Champ Fontaines 25, 1700 Fribourg",N/A
Societe cooperative immobiliere de Saignelegier,"Chemin de St-Nicolas 26, 2350 Saignelegier",N/A
Societe Cooperative immobiliere du Personnel Federal d'Aigle (SCIPFA),1860 Aigle,N/A
Societe Cooperative Immobiliere La Capite,"Avenue du Moulin 17, 1110 Morges",N/A
Societe Cooperative Immobiliere La Maison Ouvriere,"Rue Beau-Sejour 15, 1002 Lausanne",www.la-maison-ouvriere.ch
Societe cooperative immobiliere La Messagere,"Rue d'Entremonts 18, 1400 Yverdon-les-Bains",N/A
Societe Cooperative immobiliereLe Glaney,"Le Glaney 29, 1680 Romont",N/A
Societe cooperative jurassienne d'habitation,"Rue du Stand 41, 2800 Delemont",N/A
Societe cooperative L'Entre-Cote,"Rue de la Cote 66, 2000 Neuchatel",N/A
Societe Cooperative La Felicite,"Ch. de la Gite 14, 1907 Saxon",N/A
Societe Cooperative Les Terrasses,"Chemin Cesar-Courvoisier 14, 1290 Versoix",N/A
Societe cooperative pour l'habitat social - Vaud,"Succursale de Lausanne Place St-Francois 1, 1003 Lausanne",N/A
"Societe Cooperative pour l'Habitation ""La-Voie Creuse""","Av. de l'Etang 57, 1211 Geneve 2",N/A
Societe cooperative Urbanus,"Route de Delemont 12, 2842 Rossemaison",N/A
Societe cooperative Vivr'Eco,"Chemin des Esserts 51, 1730 Posieux",N/A
Societe cooperatives d'habitation collectives Lully 2,"Rte de Soral 176, 1233 Bernex",N/A
Societe d'habitation Le Parlement des chouettes,"Rue du Maupas 8bis, 1004 Lausanne",N/A
Societe immobiliere Le Jardin des Desertes SA,"Rue Beau-sejour 15, 1003 Lausanne",N/A
Societe Immobiliere Ronde Planche S.A.,"Rue des Esserts 2, 2345 Les Breuleux",N/A
Solilogis AG,"Place St-Jacques 51, 1680 Romont",N/A
SOLINSIEME - Genossenschaft fur neue Wohnformen,"Tschudistrasse 43, 9000 St.GaIlen",www.solinsieme.ch
"SOWAG, AG fur sozialen Wohnungsbau","Guterstrasse 86a, 4053 Basel",www.sowag.ch
Soziale Baugenossenschaft Neuenkirch,"Gartnerweg 4b, 6206 Neuenkirch",N/A
Ste coop d'habitation COPIMMOB ESPLANADE/PETIT-SENN,"Rte du Grand-Lancy 6A, 1211 Geneve 26",www.mcplegal.ch
Ste coop d'habitation des cheminots Yverdon,"Rue des Moulins 95, 1400 Yverdon-les-Bains VD",N/A
Ste coop. d'habitation Clos-Quiquerez,"Rue de la Poste 10, 2853 Courfaivre",N/A
Ste cooperative d'habitation du Quartier de l'Auge,"Rue de la Lenda 15, 1700 Fribourg",N/A
Stiftung Acavita,"Kammermattweg 17, 4107 Ettingen",www.acavita.ch
Stiftung Alterssiedlung Albert Naf-Hallauer,"Glattalstrasse 188, 8153 Rumlang",N/A
Stiftung Alterssiedlung Hadlaub,"Hadlaubstrasse 83, 8006 Zurich",www.stiftunghadlaub.ch
Stiftung Alterssiedlung Witikon,"Witikonerstrasse 323, 8053 Zurich",N/A
Stiftung Alterswohnen Rumlang,"Schulstrasse 16, 8153 Rumlang",N/A
Stiftung Alterswohnungen der Stadt Zurich SAW,"Feldstrasse 110, 8036 Zurich",www.wohnenab60.ch
Stiftung Alterswohnungen Jona,"Porthofstrasse 10, 8645 Jona",N/A
Stiftung Alterswohnungen Untervaz,"Stadtgartenweg 6, 7001 Chur",www.montana-treuhand.ch
Stiftung Bauen und Wohnen SBW,"Hofackerstrasse 32, 8032 Zurich",N/A
Stiftung Betagtenzentrum Horw,"Sonnsyterain 7, 6048 Horw",N/A
Stiftung Ebnet,"Gassenacker 14, 8545 Rickenbach Sulz",N/A
Stiftung Einfach Wohnen (SEW),"Birmensdorferstrasse 191, 8003 Zurich",einfach-wohnen.ch/kontakt/
Stiftung fur Betagtenwohnungen,"Zentralstrasse 60, 2501 Biel/Bienne",N/A
"Stiftung fur das Alter, Hunenberg","Lindenpark 1, 6331 Hunenberg",N/A
Stiftung fur preisgunstigen Wohnraum Basel-Stadt,"Im Westfeld 2, 4055 Basel",www.wohnraum-basel.ch
Stiftung fur soz. Wohnungsbau,"St. Leonhard-Strasse 45, 9014 St. Gallen",www.dafema.ch
